Otter,Activity,Altitude,Trout,Site,Month,Lat.,Long.,Caloric,Water Excess,Amoeba,Land,Water,Month,Year
RO-599,317.6,3078.5,2.8,Alpha,0,48.17 N,88.47 W,-9.851976349,3.016496575,1,0,,7,2018
RO-599,391.8,4661.7,52.6,Alpha,1,48.17 N,88.47 W,-67.81527648,4.749198416,1,21,,8,2018
RO-599,410.6,,156.9,Alpha,2,48.17 N,88.47 W,-73.29843069,4.485202039,0.944956946,26,,9,2018
RO-599,257.7,2792.2,209.2,Alpha,3,48.17 N,88.47 W,7.385155851,4.047705964,0.944956946,3,,10,2018
RO-599,330.8,4313.2,,Alpha,4,48.17 N,88.47 W,-20.16895525,5.203629812,0.944956946,17,,11,2018
RO-599,461.2,4643.9,207.2,Alpha,5,48.17 N,88.47 W,27.78519339,3.961924316,0.944956946,1,,12,2018
RO-599,512,4551.2,255.2,Alpha,6,48.17 N,88.47 W,-6.119080281,5.514204275,0.944956946,9,,1,2019
RO-599,448,3244.1,,Alpha,7,48.17 N,88.47 W,9.4791975,3.692923743,0.944956946,0,,2,2019
RO-599,499.6,4053.7,264.1,Alpha,8,48.17 N,88.47 W,-26.75258991,3.370442323,0.944956946,8,,3,2019
RO-599,547.5,4379.3,201.6,Alpha,9,48.17 N,88.47 W,-8.271843677,7.293926521,0.785887261,1,,4,2019
RO-599,561.2,4840.9,265,Alpha,10,48.17 N,88.47 W,-31.12142593,5.936311225,0.785887261,8,,5,2019
RO-599,688.1,,402.2,Alpha,11,48.17 N,88.47 W,-20.16274667,4.673781019,0.785887261,7,,6,2019
RO-599,568.9,3526.5,761.5,Alpha,12,48.17 N,88.47 W,-11.23983236,8.852081491,0.785887261,7,,7,2019
RO-599,529.2,3254.7,922.4,Alpha,13,48.17 N,88.47 W,9.668528281,4.582759021,0.785887261,3,,8,2019
RO-599,555.1,3700.2,1020.1,Alpha,14,48.17 N,88.47 W,1.16987915,5.476278237,0.785887261,9,,9,2019
RO-599,642.9,,,Alpha,15,48.17 N,88.47 W,21.32313341,4.031739036,0.785887261,1,,10,2019
RO-599,755.9,4833,1207.7,Alpha,16,48.17 N,88.47 W,12.6768093,5.509126467,0.785887261,0,,11,2019
RO-599,891.2,4924.9,1430.5,Alpha,17,48.17 N,88.47 W,-4.191636505,3.240536643,0.785887261,2,,12,2019
RO-599,1304.4,6241.7,1777.3,Alpha,18,48.17 N,88.47 W,-4.622010356,4.226612607,0.540302306,0,,1,2020
RO-599,1486.7,5593.6,,Alpha,19,48.17 N,88.47 W,-69.59728013,5.586493699,0.540302306,20,,2,2020
RO-106,209.9,1362.4,53.8,Gamma,0,48.07 N,88.64 W,-32.37977477,4.752186377,,8,-8.577798788,7,2018
RO-106,355.3,1807.1,50.5,Gamma,1,48.07 N,88.64 W,-0.956656888,4.051372597,,1,-2.169758575,8,2018
RO-106,469.9,2676.3,118.1,Gamma,2,48.07 N,88.64 W,8.163011795,6.257144424,,2,-2.328149366,9,2018
RO-106,262.3,1801.9,,Gamma,3,48.07 N,88.64 W,-2.429636904,4.990330147,,7,-7.613421584,10,2018
RO-106,230.4,1957.3,312.7,Gamma,4,48.07 N,88.64 W,22.47609708,6.248860666,,1,-1.871543965,11,2018
RO-106,361.6,,254.2,Gamma,5,48.07 N,88.64 W,18.35209397,3.367869691,,2,-3.370781442,12,2018
RO-106,472.8,,261.4,Gamma,6,48.07 N,88.64 W,13.46869905,3.87523486,,2,-1.970666441,1,2019
RO-106,445.6,2168.6,298.7,Gamma,7,48.07 N,88.64 W,5.185747515,6.345351269,,1,-2.101594431,2,2019
RO-106,361.6,1985.1,301.8,Gamma,8,48.07 N,88.64 W,-73.67741704,7.021616732,,27,-27.40134643,3,2019
RO-106,288.2,1813.9,279.1,Gamma,9,48.07 N,88.64 W,1.187306357,6.860739112,,0,-0.273109163,4,2019
RO-106,258.7,,213.8,Gamma,10,48.07 N,88.64 W,-23.81034115,5.606596914,,7,-7.02551658,5,2019
RO-106,420.3,2067.7,132.6,Gamma,11,48.07 N,88.64 W,-0.894742207,6.395131983,,0,-0.48538073,6,2019
RO-106,420.5,1796.7,264.8,Gamma,12,48.07 N,88.64 W,-12.08701788,5.334963183,,6,-6.368561544,7,2019
RO-106,494.5,1625.8,,Gamma,13,48.07 N,88.64 W,12.81542399,4.949131572,,0,-0.550021234,8,2019
RO-106,405.1,1667,351.1,Gamma,14,48.07 N,88.64 W,2.803988449,5.945712999,,5,-6.558255116,9,2019
RO-106,418.8,1677.4,357.8,Gamma,15,48.07 N,88.64 W,3.853987842,4.209230898,,7,-7.666444941,10,2019
RO-106,588.2,2289.5,342.1,Gamma,16,48.07 N,88.64 W,18.15091134,2.169198956,,0,-0.190095576,11,2019
